overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,unixReviewTime,title,brand,rank,main_cat,price,Review,sentiments
5,True,2016-03-10,A5TA1NJOC0PJ5,7414204790,Amazon Customer,Five Stars Excellent very good,1457568000,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,67701,All Beauty,12.15,five star excellent good,Positive
5,True,2015-09-01,A1TJICB7VLGQKL,7414204790,LH,Five Stars Great product,1441065600,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,67701,All Beauty,12.15,five star great product,Positive
5,True,2014-10-03,A80M2286B7STE,7414204790,dolly,Five Stars Magical,1412294400,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,67701,All Beauty,12.15,five star magical,Neutral
5,True,2014-08-07,A2TM2MAA8IT34U,7414204790,Jack Warn,Five Stars Excellent!!!,1407369600,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,67701,All Beauty,12.15,five star excellent,Positive
4,True,2014-06-14,AQGWT465GTEJG,7414204790,Chitralekha Tulal,Very pricey I do like the product a lot...I had bought them from India and they cost about $3/4 there...but since its not so easily available here I had to look for them in Amazon... they charged me more than double here.,1402704000,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,67701,All Beauty,12.15,pricey like product lot buy india cost since easily available look amazon charge double,Negative
5,True,2015-03-09,ASZO5WJA6FVVH,9790787006,Petra Zender,Five Stars it is still to this day my favorite glad you had it,1425859200,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,five star still day favorite glad,Positive
5,True,2015-03-02,A1KU7EEUGYOJYD,9790787006,V,"Five Stars Love the way this perfume smells.  Such a soft, sexy scent.",1425254400,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,five star love way perfume smell soft sexy scent,Positive
5,True,2015-02-19,A1907XNEJPEZEI,9790787006,Linda Giambrone,Five Stars love this perfume!  I get so many compliments on it!,1424304000,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,five star love perfume get many compliment,Positive
5,True,2015-01-14,A3U7B0EKSK16MQ,9790787006,Kane,"a bit Sweet, a lot Spicy, feels Warm & definitely Unisex! This is a well done scent its slightly sweet, spicy and warm. This is definitely unisex a lot of masculine notes. I would absolutely recommend this perfume to girls and guys, but definitely unisex.",1421193600,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,bit sweet lot spicy feel warm definitely unisex well scent slightly sweet spicy warm definitely unisex lot masculine note would absolutely recommend perfume girl guy definitely unisex,Positive
5,False,2013-01-13,A3OCOP75PMY097,9790787006,Jim Francis,Excellent product The package was a complete satisfaction to my wife. Smell is great and not too strong. I would recommend it to everyone.,1358035200,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,excellent product package complete satisfaction wife smell great strong would recommend everyone,Positive
5,True,2012-09-11,AS02PGU8BFX2,9790787006,Shell2010,Nothing wrong with it I llove heartbraker. I started out with just the perfurm and then got everything eles. I love how it smells and the price is amazig:).,1347321600,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,nothing wrong llove heartbraker start perfurm get everything ele love smell price amazig,Positive
5,False,2012-04-13,A1TYR5GO9YE60D,9790787006,Armanda,"Love It I was first introduced to this scent when a friend bought it and I fell in love.  I just ordered mine (although I found it for half price on ebay) and I've been wearing it ever since.  This is a very spicy, and warm scent.  When I wear it I feel sexy and I know I smell that way too. Everyone has commented on how great it smells and my boyfriend really likes it.  I also love the bottle, It's so beautiful to look at and comes with a removeable charm with Jenna's signature on the back.  The charm is very heavy so I took it off and am using it as a key chain, which to me is a plus.  I definately recommend this product to anyone looking for a very spicy and sexy scent.",1334275200,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,love first introduce scent friend buy fall love order mine although find half price ebay wear ever since spicy warm scent wear feel sexy know smell way everyone comment great smell boyfriend really like also love bottle beautiful look come removeable charm jenna signature back charm heavy take use key chain plus definately recommend product anyone look spicy sexy scent,Positive
2,True,2017-01-09,AFO1CM5HMAEA6,9790787006,Kindle Customer,Old baby powder I love Jenna ! But this just out right sucks ! It smell just like old baby powder  But I am still going to keep it because it is by Jenna,1483920000,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,old baby powder love jenna right suck smell like old baby powder still go keep jenna,Positive
4,True,2016-12-19,A2J6AVSVGGFEJP,9790787006,Amazon Customer,Four Stars Love this scent. The heart charm looks a little cheap. Great scent to wear in the evening.,1482105600,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,four star love scent heart charm look little cheap great scent wear evening,Positive
5,True,2016-12-15,A18WA88B995ZT7,9790787006,sherri panuzzo,"best stuff i ever bought cant be bought in regular ... best stuff i ever bought
cant be bought in regular stores, porn star designed this purfume, its awesome",1481760000,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,good stuff ever buy buy regular good stuff ever buy buy regular store porn star design purfume awesome,Positive
3,True,2016-12-14,A36WKQ76TJCCYW,9790787006,TMW,All A+++ Smelled great,1481673600,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,smelled great,Positive
3,True,2016-11-14,A1S0WV2WXFZRKI,9790787006,Danielle,not as sexy as you would think My current boyfriend said this perfume smell great! I said does it turn you on? He said yes. So being the good girlfriend I am I bought it. It doesn't turn heads or get compliments. The scent doesn't last and smells very much like the alcohol it is so heavily used with. Scent come out strong and fades quick. The bottle is pretty and the light lingering scent it does have doesn't smell that bad after a while. I would not purchase it again. overall the perfume is ok. You get what you pay for. It was 15 $,1479081600,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,298893,All Beauty,13.85,sexy would think current boyfriend say perfume smell great say turn say yes good girlfriend buy turn head get compliment scent last smell much like alcohol heavily use scent come strong fade quick bottle pretty light linger scent smell bad would purchase overall perfume ok get pay,Positive
